페이지,별점,리뷰
3,5,가성비 굿. 조립도 뭐 간단하네요. 마감이 좀 거칠긴하지만 쓰는데 지장은 없습니다. 잘 써볼게요~
3,5,이가격에 이정도면 만족합니다 조립도 쉽고 관건은 얼마만에 덜렁거리느냐인데
3,4,상품 만족합니다 깔끔하고 좋네요 가격은 싼데 싸보이지 않고 의자도 편해요
3,5,시중가의 절반가격으로 구매했습니다. 착석감도 아주 뛰어나고 디자인도 잘 빠졌네요..
3,5,조립도 어렵지 않고 내구성도 좋은 듯 합니다. 추후 필요시에 추가 구매 고려 중입니다.
3,4,가격에 맞는 수준이예요! 싸고 좋은 것 찾은 것이었는데 딱 그 정도입니다. 잘 써야죠!
3,5,만족합니다. 설치도 아주 쉽고 좋네요.. 의자 없이 지내다 쓰니 굉장히 좋은 느낌이 많네요.
4,5,배송도 빠르고 조립도 손 쉽게 할 수 있어서 좋아요 만족합니더
4,5,배송빠르고 저렴한거에 비해 튼튼하고 조립도 쉬워서 좋네요
4,5,싸고 좋아요. 근데 오래 앉아 있기에는 조금 불편한 감이 있네요. 싸고 좋은 제품 감사합니다.
4,4,지인께 선물했는데 조립도쉽고 튼튼하고 편하다고 하네요
4,4,배송완전 빠르고요 조립하긴 쉬웠는데 맞게 하건지@ 상품은 좋네요^^
4,5,좋은 상품 잘받아 사용합니다 많이 팔고 번창하세요
4,4,아이공부방에 놔주려고 샀는데 가격대비 좋습니다! 아이가 편하다고 하네요~~^^ 번창하세요~~^^
4,3,가격대 가성비는 좋은듯요 ㅎ 막쓰실라면 추천합니다
4,5,생각보다 앉아보니 꽤 편안합니다. 왜 1위한지 알것같네요.
4,4,뒤로 젓히면 좀 삐걱거리지만 가성비는 좋아요
5,5,잘받았습니다 배송 빠르네요 설치도 간단하구요
5,5,조립두 간편하고 아이들 막쓰기엔 좋은것같아여
5,4,조립은 정말 금방했고제품도 그럭저럭 괜찮네요
5,5,조금 불안하지만 조립 간편하고 사용 문제 없어요~
5,3,고장나기 쉬울듯하네요 내구성이 많이 약함
5,5,배송도 완전빠르고 제품도 가격대비 좋아요
5,5,조립하기도쉽고 일단은 튼튼해보이네요 많이파세요
5,3,조립은 쉽고요 그냥 딱 무난한 의자네요
5,3,블루밍]18년형 IPX-500 방수 비데 마사지 좌욕 세정
5,5,중학생 아이의자 좋아요 편하고 색상 디자인 다 좋네요~~~~
6,5,좋은 제품 저렴하게 잘 삿네요! 배송도 빨라요!
6,5,빠른배송 깔끔한디자인 ?조립도 혼자했어요? 쉽네요?
6,4,제품 조립도 쉽고 문안하니 좋네요
6,5,만족스러운 의자입니다! 편안하고 안정감 있고요~~!!
6,4,꼼꼼한성격인데 이정도의 품질이면 아주대만족!!!
6,5,배송도 만족하고 상품도 좋네요
6,4,조립은참편한데 매쉬도튼튼한듯싶은데 내가궁디가큰건지 의자가조금작은듯비좁게느껴짐
6,4,가격대에 보다 튼튼하고 너무편해요!
6,4,조립도 쉽고 가벼워서 좋네요
6,5,가성비최오네요 저렴하게 잘구매했어요
7,4,여자인데도 금방 조립했어요:-) 매우만족합니다
7,4,배송도 빠르고 조립도 매우 쉬웠어요~~~
7,5,넘나 마른 배송이고 좋은데
7,4,판매1위 무료반품 컴퓨터/책상/학생/사무용의자
7,4,편하고 좋네요 빨리받았어요
7,4,조립이 생각보다 쉽습니다.
7,5,안정적이고좋아요 가성비？오
7,5,조립쉽고 깔끔해요 좋아요
7,4,가성비 지림
7,4,중저가 제품중에선 최상의 의자라고 생각합니다. 먼저 가장 중요한 뛰어난 가성비! 괜찮은 의자를 사려면 10만원을 훌쩍 넘어버립니다. 절반 가격에 그만한 성능을 내는 의자가 마이홈의자라고 생각합니다. 물론 비싸고 이름있는 의자가 더 좋겠지만 그에 준하는 제품이라 생각되네요. 두번째로는 편안함! 기존에 사용하던 의자가 오래되서 소리도 많이나고 허리가 아팠는데 이 의자는 굉장히 편하네요. 소리도 거의 없고 요추받이가 허리를 잘 지탱해줍니다. 마지막으론 조립성! 설명서 한 번보고 뚝딱하니 5분도 안되서 끝나더군요. 인터넷에서 주문하는 다른 의자들중 추가옵션으로 헤드나 요추받이를 선택했을 경우 조립이 복잡해지는데 이 제품은 대부분 조립이 된 상태로 도착해서 너무 쉬웠습니다. 여성분이나 아이들도 쉽게 조립할 수 있을듯합니다. 물론 아쉬운 점도 한 두가지있었습니다. 중저가 의자라 이해하지만 마감이 조금 아쉬웠습니다. 크게 거슬리는 부분은 없었지만요. 그리고 좌판이 라텍스인데 생각보단 푹신하지 않네요. 개인적으로 딱딱한 의자를 좋아해서 상관없습니다. 마지막으론 배송상태가 좀 많이 아쉽더군요. 무게가 꽤 나가는 제품인데 큰 박스에 테이프 한 번만 붙여져있더라구요. 택배가 도착했을때 박스가 완전히 열려있어서 파손됐거나 분실된건 아닌지 걱정했었습니다. 조금만 더 신경써주시면 좋을 것 같네요. 이상 그적거려봤습니다.
8,3,그럭저럭 쓸만한데 굳이 요추 등받이는 추가할 필요없을것 같네요 오히려 더 불편한듯...
8,5,"처음엔 좀 무겁다 느꼈지만 바닥 긁힘 전혀 없구요, 의자 쿠션 푹신하고 등받이 매쉬라서 여름에도 시원하게 앉을 수 있어요. 허리나 머리 보호대 쪽은 사실 소파처럼 아주 안락하거나 편안한 느낌은 아니지만 의자 위에서 삼시세끼 있을게 아니면 전혀 지장 없구, 분명히 가격 이상의 편안함을 제공하는 건 확실하네요. 뒤로 넘어가지만 않게 설계됐다면 자는 것도 충분히 가는했을 텐데요 ㅋㅋㅋ 디자인도 깔끔하고 이 정도 가성비 의자 확실히 쉽게 구할 순 없을 것 같아요. 만족합니다 ㅋㅋ 많이 파세요~"
8,5,조립은 쉬운데 프라스틱 제품이라서 받침대 내구성이 어쩔지 모르겠네요.
8,5,"허리가 아파 한의원에 돈을 갔다바치다가 20년전에 샀던 의자에 문제가 있음을 직시하고 바로 11번가 쿠폰을 소환하여 대한밍쿡에서 제일 저렴하게 샀습니다. 너무 저렴하게 매우 저렴하게 보이면 어쩌지 했는데 댓츠 노노. 꽤 튼튼합니다. 45도 등을 뒤로 기대도 넘어지지 않구요. 아빠다리 하고 다리를 올리고 앉아있어도 널찍한 구조입니다. 게다가 바뀌에 기름같은걸 끼얹었는지 막 슬라이딩 날려도 잘 굴러가네요. 예전 의자는 바퀴가 장식이여서 들척들척 해야했거든요. 색감도 안튀는 회색이라 오래써도 때도 안타고 질리지 않을 것 같습니다. 제일 중요한 등부분 요추 쿠션이 적당히 편해요. 집에 사실 더 좋은 요추 의자가 있는데 허리를 나무 곧게 세워줘서 어쩔 땐 답답한데 이건 허리를 자유롭게 해주 다가도 기대면 폭신한 편안함을 선사합니다. 한의원에 돈 나갈 바에 이번 기회에 구식 의자는 한쪽으로 몰아넣고 (전 재활용에 갖다뒀더니 1시간 뒤에 사라짐) 진짜 갠춘한 책상의자 꼭 구매하세요. 의자가 안좋으면 진짜 허리가 어르신들처럼 쑤시고, 아프면 또 신경질이 나고, 그리고 주변 사람들에게도 짜증 부리게 되고 집안 분위기도 험해집니다. 좋은 의자를 샀더니 집안이 화목해졌어요!! 참, 이거 공공기관에도 납품하나요? 친구네 회사 갔더니 비슷한 디자인이 있어서 괜히 방가방가."
8,5,방에 있던 제 의자가 기울어져있서 학기 내내 불편했었는데요. 의자를 주문하고 엄청 기다렸습니다. 원래 의자에 요추받침이 없고 헤드부분이 있었는데 전 헤드부분은 필요없고 요추부분이 필요해서 주문할 때 요추받침만 주문했습니다. 컴퓨터전공의 학생이다 보니까 책상앞에 앉아있을 시간이 많아 의자가 중요한데요. 그래서 이번에 의자랑 발받침 한번에 구매했습니다. 의자를 조립하고 앉아보니 정말 편하네요. 의자는 처음 사보는데 조립도 쉽고 편해서 아주 마음에 들었습니다. 개봉전 박스에 조립설명서가 있는데 조립하기 진짜 간단합니다. 개봉 제품 조립 전 중심봉 결합 - 중심봉을 다리에 올려놓으면 됩니다. 따로 볼트 조일 것도 없어요. 좌판 결합 - 좌판도 그냥 올려놓으면 끝 등받이 결합 - 등반이는 끼우기 전에 뒤쪽 볼트를 빼고 좌판에결합시킵니다. 결합하면서 볼트가 들어갈 구멍을 보면서 알맞은 높이에서 볼트를 꽂습니다. 이걸로 조립은 끝났습니다. 좋은 의자 감사합니다. 마지막 착샷
8,2,박스 다 뜯어져서 배송오고 좋네요 뜯기 편하게
8,4,물건 잘 받고 조립 하니 모양새는 가격대비 훌륭한듯 하였으나 처음 앉아보니 이상하게 불편해서 새의자라 적응이 안되서 그러나 했는데 한 3일 사용해보니 쓰면 쓸쑤록 불편하더군요 모양은 별이상 없는데 왜이런가 하고 다른 의자 옆에놓고 비교해보니... 답이 나오더군요...대요추 받침대 때문이였습니다 대요추받침이 높낮이 조절도 안되어 허리 요추부분에 있는게 아니라 엉덩이 골반 부분에 자리만 차지하는 상태더군요 의자의 앉는 부분의 3분의 1가량을 요추패드가 자리를 차지하니 저는 그냥 의자에 반쯤 걸쳐앉은 상태라 불편할수밖에 없는거였네요 교환하기도 번거롭고 해서 그냥 제가 의자 분해해서 대요추받침 제거 하고 다시 조립하여 앉아보니 그제야 편해지더군요 이가격에 이정도 퀄리티면 가격대비 좋다고 봅니다 허나 만원씩 하는 대요추받침 옵션은 확실히 문제가 있네요 높이 조절기능없는 이 옵션은 그냥 모양내기 옵션이라 생각됩니다 구입하실때 대요추받침은 빼고 구입하시는게 좋을듯합니다
8,5,"의자에 오래 앉아있으니까 엉덩이가 너무 아프더라구요. 메모리폼 방석 두꺼운 거 깔았는데도 기존 의자 하부가 아예 나무여가지고 딱딱함이 ㅜㅜ...걍 이참에 제대로 된 책상 의자 하나 사야겠다 싶어서 구입했어요. 이것저것 검색해봤는데 비싼 의자는 가격이 너무 부담스럽고 저렴한 의자는 허접할 거 같고 나름 열심히 찾아보고 고민하면서 골랐습니다. 처음에는 쿠션 제일 빵빵한 옵션 사려고 했는데 상품평이 좀 극단적으로 나뉘더라구요. 등판 갈라진 부분 마감 처리에 대한 말도 많고..그래서 전 깔끔하게 요 디자인으로 정했어요. 실제로 받고 나서 진짜 탁월한 선택이었다며 뿌듯해했습니다 ㅋㅋ 일단 생각보다 엄청 큰 상자가 택배로 와서 놀랐는데 안에 보니까 의자가 90%는 이미 조립되어 있더라구요. 진짜 조립 걱정 전혀 안하셔도 됩니다. 걍 하부 조립, 헤드 조립, 등판 조립만 하면 끝이예요. 단, 등판 조립할 때는 홈에 제대로 끼우고 조이셔야 흔들리지 않아요. 요추 받침 기대했던 거 만큼 편하구, 와 ㅋㅋ 진짜 주문 전에는 헤드랑 팔걸이는 옵션에서 빼고 가격 낮춰주면 좋겠다 생각했는데 막상 앉아보니까 진짜 편해요. 공부하다가 쉴 때 기대어 있으니까 의자가 몸 딱 받쳐줍니다. 복불복인지는 모르겠지만 흔들림 전혀 없고 튼튼해요. 한 가지 아쉬운 건, 쿠션이 그리 푹신하지 않아요. 쿠션 14cm짜리 옵션 상품평에도 막 푹신하진 않다니까 원래 그런 거 같아요. 그렇다고 막 딱딱하고 불편한 건 아니구, 걍 스프링 짱짱한 침대에 앉는 느낌이예요. 리클라이너나 PC방 의자처럼 푸욱~신~ 이런 느낌은 책상 의자에 기대해선 안된다는 거 알아요 ㅋㅋ 그래도 쪼오끔만 더 푹신하면 좋을 거 같습니나. 디자인 부분 보면, 색상 화사하고(걍 웬만하면 주황색 하세요 ㅋㅋ 제일 이쁨) 매쉬 재질 좋아요. 여름에 땀 차거나 할 일 없고 쾌적한 거 같아요. 혹시라도 도움되실 분 계실까해서 일부러 상품평 길게 적어봤습니다. 암튼 전 만족스럽게 잘 쓰겠습니다. 감사해요."
8,1,11번가 외 기타 쇼핑몰 1등. 반품 무료신청 등 소비자가 홀릴만한 기타 여러 문구들을 토대로 소비자를 기만하는 회사 인거 같아요. 어제 물건 받고 11/1일 오늘 조립다하고 보니. 상판 좌 우측이 이렇게 구멍을 뚫다가 말은 부분이 있네요. 정말 어이가 없습니다.. 지금 현재 파는 의자중에 제일 비싼 의자를 샀지만 (7.5만원 상당) 해당 가격만큼의 값어치를 절대하지 않는 제품인것 같네요. 해당 제품은 적법한 절차에 교환 혹은 환불을 받아야 한다고 생각들지 않습니까? 구매하실분들은 한번 더 생각해보세요
8,1,조립을 하고나서 봐보니 상태가 이모양? 아래 나사는 빼먹은건지 없고 떠있고 팔걸이 부분 한쪽은 홈에 맞지않아서 떠 있는상태..이걸 지금 의자라고 팔고 있습니까? 출고할때 확인안하나요.? 기본적인 하자 한번 쓱봐도 알터인데 어이가 없습니다.
9,5,"2년동안 쓸 의자 찾느라 거진 1주일정도 소비했습니다. 어지간하면 리뷰안쓰는 타입인데 이번엔 꼭 써야겠네요. 좀 깁니다. 중저가의자를 찾는 중이라면 더 비교하지말고 이 브랜드 의자사면 됩니다. 다만 저처럼 9cm 쿠션에 대요추 추가하실 분들은 대요추는 반드시 빼고 사시기 바랍니다. 인터넷쇼핑 세대로서 인터넷 쇼핑만 했는데 이정도 서비스는 단 한번도 받아본적이 없습니다. 혹시나 저가로 시디즈 급 의자를 찾는 사람이라면 그냥 돈 더주고 그 급 의자사세요. 간혹 시디즈급이라는 댓글들이 있지만 그 사람들은 시디즈 앉아보지도 못한게 분명함. 하지만 중저가 브랜드에서라면 이 의자를 반드시 사세요. 단점도 분명히 있지만 그 단점들을 모두 뛰어넘는 서비스가 있음. 1주일동안 여러 업체들 찾아봤습니다. 그 중에서 이 브랜드를 택한건 국내제작이라는 이유 단 하나 였습니다. 배송 오고나서 이상을 느껴서 Q&A에 문의 남기면서 교환을 시작했습니다. 1주일 넘게 교환을 3번 했는데 단 한번의 짜증도 느낀적 없을 정도로 아주 빠르고 친절한 대응과 교환을 받았습니다.( 모두 무료배송입니다.) 그런데 교환이 무려 맞교환 입니다. 배송지가 경상남도 진주인데 3번 모두 교환신청 바로 다음날 교환 받았습니다. 배송이 빠른 것도 그렇고 의자업체에서 맞교환이라는 서비스를 해준다는 건 정말 대단한거 같네요. 교환 사유는 대요추 때문인데 사진에 보다 싶이 대요추가 쿠션이랑 딱 붙어있어서 허리가 아니라 엉덩이만 지탱해줌.. 원인은 3cm 쿠션용 대요추랑 9cm 쿠션용 대요추를 같이 써서 그런 것으로 판단됨. 때문에 3cm 쿠션에서는 대요추가 정상적으로 허리위치에 있으나, 9cm쿠션에는 엉덩이에 위치함.. 위 사항은 반드시 업체에서 수정해주길 바랍니다.. 저것 때문에 등 기대지도 못하고 의자 앉는 부분도 줄어서 오히려 더 불편합니다. 결국 대요추 빼고 교환 받았습니다. 차액도 환불받았구요. 하지만 위 사항들을 뛰어넘는 서비스는 정말 칭찬해야 한다고 생각해서 리뷰를 남깁니다. 혹시나 저처럼 단신부임으로 인해 2~3년 간단히 쓸 중저가 의자를 구하시는 분들께 꼭 추천드립니다."
9,1,3월 18일 구매후 약 두달간 사용중입니다. 일주일 전 바퀴가 빠지더군요 다시 끼우니 이상 없어보여서 사용하다 보니 수시로 빠져서 보니 이렇게 쪼개져있네요... 몸무게 76kg 남자 입니다. 허리 부분도 뒤로 젓히면 삐그던 소리 나기 시작했네요 조금 더 투자좀 할걸 후회되네요 역시 싼건 국산이건 중국산이건 상관없이 품질에 문제가 있네요
9,5,"일단 의자 정말 괜찮습니다. 평소에는 시디즈 의자를 썼는데 자취를 하며 싸고 좋은 의자를 찾다가 마이홈 의자를 알게되었습니다. 사실 이전에 타사의 다른의자를 먼저 구매했었는데 정말 실망하고 마지막 기회라 생각하고 마이홈의자를 주문했습니다. 정말 강추합니다. 일단 의자상태 정말 괜찮습니다. 1. 조립: 정말쉽습니다. 이미 등판과 팔걸이등이 모두 조립된 상태에서 끼우기만하면 됩니다. 이전 의자는 나사로 조이고 뭐하고 진짜힘들었는데 이 의자는 조립에 십분도 안걸렸습니다. 2. 방석: 푹신합니다. 앉은 느낌은 시디즈의자와 별반 다름 없습니다. 3. 등판: 매쉬소재는 좋으나 뒤 등 기둥?이 등에 닿는 느낌 듭니다. 하지만 불편하다는 느낌은 전혀 없고 오히려 허리를 받쳐주는 느낌이라서 개인적으로 괜찮습니다. 4. 바퀴: 소음 없이 잘굴러가고 진짜 좋습니다. 이전 타사제품샀을때는 움직일때 소리나고, 제대로 굴러가지도 않고 삐거거려서 반품했는데 이 의자 바퀴는 참 좋네요. 5. 등받이 틸팅: 적당히 넘어가는게 딱좋습니다. 팔걸이와 등판이 분리되어있어 등판만 틸팅되는게 개인적으로 좋습니다. 틸팅 조임을 따로 건들지 않고 기본 설정으로 쓰고있는데 딱 좋습니다. 6. 디자인: 와인색깔 정말예쁩니다. 항상 그린색만 사용했는데 다크한 와인색깔이 고급져보이고 매우마음에 듭니다. 7. 팔걸이: 사용에 큰 불편함은 없습니다. 다만 제가 의자에서 가부좌를 틀거나 다리를 팔걸이에 기대는 편인데..그럴수록 팔걸이가 벌어지는 느낌입니다. 다시 산다면 삼각형모양?의 팔걸이를 선택하고싶습니다. 그러나 팔만 얹는 용도라면 불편함이 없을것같습니다. 8. 개인적으로 좋은점: 고급스러운 디자인과 색깔, 바퀴, 등판과 목받침 조절가능, 적당한틸팅과 플라스틱 하단(이전에 스틸제질의 하단부위를 구매했는데 발이 닿였을때 차갑고, 소리나고 개인적으로 스틸은 별로였음), 부드러운 의자 높이조절 9. 개인적으로 불편한점: 앉아서 등을 기대고 좌우로 왔다갔다했을때 등판이 좌우로 움직임. 티자형 팔걸이가 죄우로 힘을주었을때 벌어짐.(팔걸이가 좌우로 미는 힘에는 취약해보임) 10. 총평: 가격대비 정말 진심 최고인듯합니다. 의자구매에 한번 실패하고 걱정이많았는데 앉은느낌 정말좋습니다. 저는 정말 추천합니다. 만약 구매를 고려하고계신다면 드리 컴퓨터용으로는 요추방석?은 필요없을듯하나 공부책상이라면 요추방석 있으면좋을것같아요. 저같은 경우는 요추방석이 없는걸 선택했는데, 공부용이라서.. 만약 요추방석만 따로판다면 구매하고싶네요. 그외에 팔걸이는 팔만 얹을용도라면 일반형을, 저처럼 다리로 팔걸이를 지탱하는 경우라면 삼각형? 더 튼튼해보이는 것으로 구매하길 권합니다! 어쨌든 사세요! 두번 사세요! 세번 사세요! 이런리뷰 잘안쓰는데 개인적으로 정말 좋아서 쓰게됐네요. 그럼 저는 새마음 새뜻으로 새로운의자에서 열공하겠습니다! 좋은의자 저렴한가격에 판매해주셔서 감사합니다!!!"
